split,source_kind,original_subject,subject,exercise,sensor,folder_path,exists
training,original,s4,s4,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s4\e8\u2,True
training,augmented,s11,s11_p1,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s11_p1\e6\u2,True
training,augmented,s11,s11_p1,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s11_p1\e7\u2,True
training,augmented,s11,s11_p1,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s11_p1\e8\u2,True
training,augmented,s11,s11_p2,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s11_p2\e6\u2,True
training,augmented,s11,s11_p2,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s11_p2\e7\u2,True
training,augmented,s11,s11_p2,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s11_p2\e8\u2,True
training,augmented,s11,s11_p3,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s11_p3\e6\u2,True
training,augmented,s11,s11_p3,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s11_p3\e7\u2,True
training,augmented,s11,s11_p3,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s11_p3\e8\u2,True
training,augmented,s12,s12_p1,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s12_p1\e6\u2,True
training,augmented,s12,s12_p1,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s12_p1\e7\u2,True
training,augmented,s12,s12_p1,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s12_p1\e8\u2,True
training,augmented,s12,s12_p2,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s12_p2\e6\u2,True
training,augmented,s12,s12_p2,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s12_p2\e7\u2,True
training,augmented,s12,s12_p2,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s12_p2\e8\u2,True
training,augmented,s12,s12_p3,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s12_p3\e6\u2,True
training,augmented,s12,s12_p3,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s12_p3\e7\u2,True
training,augmented,s12,s12_p3,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s12_p3\e8\u2,True
training,augmented,s2,s2_p2,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s2_p2\e6\u2,True
training,augmented,s2,s2_p2,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s2_p2\e7\u2,True
training,augmented,s2,s2_p2,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s2_p2\e8\u2,True
training,augmented,s2,s2_p3,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s2_p3\e6\u2,True
training,augmented,s2,s2_p3,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s2_p3\e7\u2,True
training,augmented,s2,s2_p3,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s2_p3\e8\u2,True
training,augmented,s3,s3_p1,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s3_p1\e6\u2,True
training,augmented,s3,s3_p1,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s3_p1\e7\u2,True
training,augmented,s3,s3_p1,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s3_p1\e8\u2,True
training,augmented,s3,s3_p3,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s3_p3\e6\u2,True
training,augmented,s3,s3_p3,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s3_p3\e7\u2,True
training,augmented,s3,s3_p3,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s3_p3\e8\u2,True
training,augmented,s4,s4_p1,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s4_p1\e6\u2,True
training,augmented,s4,s4_p1,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s4_p1\e7\u2,True
training,augmented,s4,s4_p1,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s4_p1\e8\u2,True
training,augmented,s4,s4_p2,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s4_p2\e6\u2,True
training,augmented,s4,s4_p2,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s4_p2\e7\u2,True
training,augmented,s4,s4_p2,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\augmented\s4_p2\e8\u2,True
